URL,academ,adjust,advanc,advertis,afera,appear,approach,autumn,bake,becam,becom,best,better,certainli,cesaer,church,circl,citat,compris,confer,contain,corpu,custom,date,dimens,document,dough,dziennik,educ,engin,europ,european,exchang,exist,fact,feast,figur,frequenc,frequent,gener,god,googl,help,holi,home,horn,hors,horsesho,increas,interpret,known,latin,link,lose,mani,martin,member,mhz,novemb,number,offer,offset,oldest,organ,oxen,pagan,poland,polish,politechnika,poznań,poznańska,poznański,programm,promot,proport,publish,radio,rank,refer,research,rogal,roll,sacrific,school,shape,st,staff,station,student,substitut,taken,technic,technolog,term,tfidf,thi,time,tradit,univers,urap,valu,webometr,word,world,year,świętomarciński
PUT,0.07189127655523235,0.0,0.1437825531104647,0.0,0.07189127655523235,0.0,0.0,0.0,0.0,0.07189127655523235,0.07189127655523235,0.1437825531104647,0.0,0.0,0.07189127655523235,0.0,0.07189127655523235,0.07189127655523235,0.07189127655523235,0.07189127655523235,0.0,0.0,0.0,0.0,0.07189127655523235,0.0,0.0,0.0,0.07189127655523235,0.1437825531104647,0.1437825531104647,0.1437825531104647,0.07189127655523235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07189127655523235,0.0,0.0,0.07189127655523235,0.0,0.0,0.0,0.0,0.0,0.048146425769697236,0.0,0.0,0.0,0.07189127655523235,0.0,0.1437825531104647,0.07189127655523235,0.0,0.0,0.0,0.0,0.0,0.1437825531104647,0.0,0.0,0.1437825531104647,0.1437825531104647,0.07189127655523235,0.1444392773090917,0.07189127655523235,0.0,0.07189127655523235,0.07189127655523235,0.0,0.0,0.07189127655523235,0.1437825531104647,0.0,0.07189127655523235,0.0,0.0,0.0,0.07189127655523235,0.0,0.0,0.07189127655523235,0.07189127655523235,0.21567382966569706,0.0,0.0,0.1437825531104647,0.1437825531104647,0.0,0.0,0.0,0.0,0.0,0.7189127655523236,0.07189127655523235,0.0,0.07189127655523235,0.0,0.1437825531104647,0.07189127655523235,0.0
bla bla,0.0,0.1534859956608292,0.0,0.0,0.0,0.3069719913216584,0.1534859956608292,0.0,0.0,0.0,0.0,0.0,0.1534859956608292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1534859956608292,0.1534859956608292,0.0,0.0,0.0,0.46045798698248763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1534859956608292,0.0,0.0,0.1534859956608292,0.1534859956608292,0.1534859956608292,0.0,0.0,0.1534859956608292,0.0,0.0,0.0,0.0,0.0,0.1534859956608292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3069719913216584,0.0,0.1534859956608292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1534859956608292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1534859956608292,0.1534859956608292,0.0,0.10279136010465438,0.0,0.0,0.0,0.1534859956608292,0.0,0.46045798698248763,0.0,0.0,0.0
rogal,0.0,0.0,0.0,0.1369149706530386,0.0,0.0,0.0,0.1369149706530386,0.1369149706530386,0.0,0.0,0.0,0.0,0.1369149706530386,0.0,0.1369149706530386,0.0,0.0,0.0,0.0,0.0,0.0,0.1369149706530386,0.1369149706530386,0.0,0.0,0.2738299413060772,0.1369149706530386,0.0,0.0,0.0,0.0,0.0,0.1369149706530386,0.0,0.1369149706530386,0.1369149706530386,0.0,0.0,0.0,0.1369149706530386,0.0,0.0,0.1369149706530386,0.0,0.1369149706530386,0.1369149706530386,0.1369149706530386,0.0,0.1369149706530386,0.0916935515290558,0.1369149706530386,0.1369149706530386,0.1369149706530386,0.0,0.1369149706530386,0.0,0.0,0.1369149706530386,0.0,0.1369149706530386,0.0,0.1369149706530386,0.0,0.2738299413060772,0.1369149706530386,0.0,0.0,0.0,0.0916935515290558,0.0,0.1369149706530386,0.0,0.0,0.0,0.1369149706530386,0.0,0.0,0.1369149706530386,0.0,0.1369149706530386,0.1369149706530386,0.1369149706530386,0.0,0.1369149706530386,0.1369149706530386,0.0,0.0,0.0,0.1369149706530386,0.1369149706530386,0.0,0.0,0.0,0.0,0.1369149706530386,0.0916935515290558,0.2738299413060772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2738299413060772
